country,e_visa_or_visa_on_arrival,eta,visa_required,visa_not_required
AD,64,8,25,101
AE,52,5,14,127
AF,70,2,122,4
AG,60,5,34,99
AL,69,3,52,74
AM,68,2,94,34
AO,69,3,104,22
AR,62,7,23,106
AT,51,8,15,124
AU,63,7,16,112
AZ,70,3,91,34
BA,71,3,50,74
BB,61,7,24,106
BD,64,2,115,17
BE,50,7,15,126
BF,66,1,101,30
BG,57,6,18,117
BH,59,4,86,49
BI,70,1,109,18
BJ,65,1,100,32
BN,54,9,32,103
BO,76,2,85,35
BR,58,6,24,110
BS,60,7,29,102
BT,78,2,101,17
BW,54,6,91,47
BY,67,2,85,44
BZ,61,4,74,59
CA,55,7,19,117
CD,68,1,113,16
CF,71,1,106,20
CG,70,2,107,19
CH,53,8,15,122
CI,70,1,99,28
CL,61,8,23,106
CM,71,2,105,20
CN,67,4,86,41
CO,69,2,42,85
CR,69,5,33,91
CU,73,2,93,30
CV,63,1,97,37
CY,51,6,19,122
CZ,54,7,17,120
DE,49,8,15,126
DJ,76,2,105,15
DK,50,7,14,127
DM,63,4,40,91
DO,76,3,88,31
DZ,76,2,99,21
EC,68,4,78,48
EE,55,7,17,119
EG,75,2,102,19
ER,76,2,109,11
ES,49,8,14,127
ET,76,2,109,11
FI,48,8,15,127
FJ,69,3,77,49
FM,78,3,48,69
FR,48,8,15,127
GA,71,2,99,26
GB,53,8,19,118
GD,63,5,36,94
GE,69,2,47,80
GH,60,2,94,42
GM,58,1,96,43
GN,68,2,101,27
GQ,71,2,103,22
GR,53,7,15,123
GT,74,4,41,79
GW,65,1,106,26
GY,66,5,79,48
HK,51,7,26,114
HN,70,3,44,81
HR,56,7,16,119
HT,76,3,104,15
HU,55,7,16,120
ID,65,4,84,45
IE,55,7,15,121
IL,58,6,29,105
IN,75,3,93,27
IQ,69,2,119,8
IR,68,3,114,13
IS,57,8,18,115
IT,49,8,15,126
JM,63,4,75,56
JO,72,3,104,19
JP,56,9,16,117
KE,62,2,95,39
KG,76,2,93,27
KH,78,3,96,21
KI,69,3,47,79
KM,75,2,105,16
KN,61,6,30,101
KP,76,2,111,9
KR,58,9,15,116
KW,61,4,76,57
KZ,65,3,88,42
LA,71,3,104,20
LB,71,2,110,15
LC,62,6,37,93
LI,58,7,18,115
LK,68,3,108,19
LR,65,1,108,24
LS,58,4,92,44
LT,55,8,18,117
LU,50,8,15,125
LV,55,7,18,118
LY,70,2,113,13
MA,69,2,89,38
MC,61,8,20,109
MD,67,2,54,75
ME,71,3,44,80
MG,67,2,102,27
MH,73,3,47,75
MK,70,2,46,80
ML,62,2,104,30
MM,76,3,107,12
MN,70,2,90,36
MO,61,5,39,93
MR,70,1,102,25
MT,48,8,19,123
MU,57,6,40,95
MV,63,4,78,53
MW,61,2,94,41
MX,64,6,30,98
MY,55,8,18,117
MZ,63,3,105,27
NE,65,1,102,30
NG,60,1,111,26
NI,74,4,47,73
NL,50,8,15,125
NO,52,8,15,123
NP,77,2,107,12
NR,68,3,84,43
NZ,59,7,16,116
OM,63,4,86,45
PA,69,4,37,88
PE,70,5,33,90
PG,71,4,86,37
PH,68,3,91,36
PK,70,2,116,10
PL,53,8,16,121
PS,69,2,116,11
PT,51,7,15,125
PW,79,3,47,69
PY,69,5,37,87
QA,55,5,68,70
RO,56,6,18,118
RS,67,3,41,87
RU,52,6,62,78
RW,68,3,99,28
SA,62,4,80,52
SB,65,6,41,86
SC,57,5,36,100
SD,70,2,114,12
SE,48,8,15,127
SG,43,8,17,130
SI,54,7,18,119
SK,56,7,16,119
SL,57,1,101,39
SM,63,7,26,102
SN,67,1,98,32
SO,66,1,120,11
SR,73,3,85,37
SS,66,1,114,17
ST,71,2,100,25
SV,71,3,43,81
SY,64,2,125,7
SZ,61,3,91,43
TD,69,1,106,22
TG,67,1,101,29
TH,70,5,83,40
TJ,74,3,98,23
TL,74,2,66,56
TM,80,2,101,15
TN,66,3,93,36
TO,66,4,46,82
TR,64,5,60,69
TT,59,6,34,99
TV,68,3,45,82
TW,71,8,44,75
TZ,54,2,99,43
UA,69,3,33,93
UG,63,1,99,35
US,56,7,19,116
UY,66,6,29,97
UZ,70,2,97,29
VA,62,6,35,95
VC,59,5,32,102
VE,74,3,50,71
VN,71,4,100,23
VU,69,3,78,48
WS,69,4,44,81
XK,66,2,80,50
YE,69,2,118,9
ZA,62,5,71,60
ZM,57,4,99,38
ZW,59,2,101,36
